product_id,product_name,product_price,product_type,user_type
100018720121,罗蒙 ROMON 夹克男士外套秋冬季商务休闲茄克衫潮流时尚格子条纹大码棒球领上衣服男装JX1901 深蓝 XL,198.0,时尚服装,时尚达人
100007580155,啄木鸟（TUCANO）休闲裤男 商务休闲时尚西装裤弹力修身百搭裤子男装 黑色 32,118.0,时尚服装,时尚达人
10056346672169,C'N'C【轻奢衣服】CNC女装新款长袖羊毛衫字母提花装饰时尚收身羊绒衫 白色 L（170/88A）,1902.0,时尚服装,时尚达人
100040056758,南极人（Nanjiren）夹克男士春秋季宽松休闲男装上衣纯色棒球领茄克外套简约时尚衣服,99.0,时尚服装,时尚达人
10055959286261,FYN 美式复古短袖t恤男士vintage质感潮牌半袖衫体恤学生青少年夏季纯棉潮流ins重磅上衣服 杏色 L,48.0,时尚服装,时尚达人
10026870543314,（超值两件装）夹克男春秋季新款时尚外套男士夹克连帽潮流青年工装上衣服男夹克男外套 1307-2130黑色+内搭T恤 XL,99.0,时尚服装,时尚达人
100028008103,稻草人（MEXICAN）长袖t恤男士春秋季国潮卫衣圆领上衣宽松薄款男装潮流中国风衣服,99.0,时尚服装,时尚达人
10050730499256,南极人短袖t恤男日系简约纯棉体恤宽松潮流百搭美式休闲上衣服夏季 绿色 XL,48.83,时尚服装,时尚达人
10069701642690,花花公子休闲裤子男士宽松直筒2023春季新款哈伦长裤黑色春秋款裤子男裤 黑色 XL,139.0,时尚服装,时尚达人
10059215240680,榜尊春秋季新款卫衣男长袖t恤韩版修身打底衫潮流提花上衣 白色 L(110斤-135斤),108.0,时尚服装,时尚达人
10058511404619,浩术牛仔裤男春季新款宽松工装大码百搭潮流九分休闲长裤子男 D903浅蓝+灰色【两条装】 L【110-125斤】,75.0,时尚服装,时尚达人
10056926444676,啄木鸟 夹克男外套男士秋冬季新款纯色商务中青年春秋休闲时尚 XC-2020-JK6268-暗兰 2XL(推荐140斤-160斤),239.0,时尚服装,时尚达人
100013078299,啄木鸟（TUCANO）长袖T恤男圆领纯色休闲时尚纯棉简约打底衫舒适男装上衣服 灰色 XL,99.0,时尚服装,时尚达人
10058240349073,OEMG 重磅纯棉长袖t恤男春秋季宽松圆领打底衫卫衣情侣学生港风ins潮流潮牌美式复古上衣服 白色 XL,48.0,时尚服装,时尚达人
10050327516880,木林森九分休闲裤男春夏季薄款宽松透气长裤韩版商务青春潮流裤子男装 灰色 33,118.0,时尚服装,时尚达人
10061099600295,啄木鸟长袖T恤男春秋季新款休闲男装卫衣潮流印花宽松打底衫百搭上衣服 2007白色 XL（建议125-140斤）,89.0,时尚服装,时尚达人
10054235003948,森马旗下棉致潮牌美式T恤男士短袖2022新款夏季宽松衣服男潮流ins复古百搭体恤男装联名 黑色【高品质】 L 【建议111-130斤】,49.0,时尚服装,时尚达人
52492023353,与狼共舞（DANCING WOLVES）【纯棉舒适】长袖t恤男2023春季纯色POLO男士上衣翻领长T恤衫6E 雾霾蓝129 175/92A/L,179.0,时尚服装,时尚达人
100048509537,森马集团GENIOLAMODE长袖T恤男日系简约软萌卡通图案圆领上衣男生个性时尚春秋衣服 黑色3XL,49.9,时尚服装,时尚达人
10055298095167,康坦汀 短袖t恤男日系简约宽松打底衫青少年运动百搭夏季潮流小衫男士宽松薄款半截袖T恤透气清凉男装上衣 军绿色 XL,29.0,时尚服装,时尚达人
10068098738796,恒源祥冲锋上衣情侣款夹克户外防水男女款外套春秋新款登山服装防寒 果绿女款 M,269.0,时尚服装,时尚达人
10068179310488,真维斯（Jeanswest）青少年港风t恤男女短袖夏季纯棉高支数宽松情侣ins潮流半袖体恤JR 白（蓝植物） L【适合110-130斤】,49.9,时尚服装,时尚达人
41323975577,班尼路新款短袖t恤男潮流圆领纯色体恤衫时尚情侣款上衣青年基础百搭打底衫简约休闲透气新疆棉度假风半袖T 00A黑色 L,59.0,时尚服装,时尚达人
10068958344438,西域传奇纯棉夏季短袖T恤男装潮流宽松简约百搭复古港风半袖上衣服男潮牌 咖啡色 XL,48.0,时尚服装,时尚达人
10063399674870,豫瑶【两件装】 春季休闲裤男宽松工装束脚微修身时尚哈伦百搭裤子 1026黑色+1026深灰（80%人选） XL【32-33码 体重130-150斤穿】,128.0,时尚服装,时尚达人
100008217995,花花公子（PLAYBOY）夹克男外套男装春季男士休闲潮流宽松工装上衣服 卡其 XL,199.0,时尚服装,时尚达人
10067309692748,帛米图（BOMITU）牛仔裤男复古新款春秋季宽松直筒潮流美式阔腿裤抽绳工装休闲裤 灰色【腰带款】 XL【建议110-125斤】,48.0,时尚服装,时尚达人
10036349976947,花花公子夹克男外套上衣男士秋冬季薄款新款纯色棒球服立领潮流休闲外衣中青年春秋防风加绒加厚上衣工装服饰 2030黑色 XL-（推荐125斤-140斤）,139.0,时尚服装,时尚达人
72302535046,南极人外套男夹克春秋款男装连帽青年潮流宽松休闲上衣服男士春装男装 黑色 XL,69.0,时尚服装,时尚达人
